1	1000		0.47927	0.48021	0.48053	0.48076	0.47953	0.47941	0.47727	0.48061	0.48055	0.48128
1	2000		0.62803	0.62834	0.62813	0.62831	0.62703	0.62699	0.62374	0.62788	0.62806	0.62788
1	3000		0.69669	0.70066	0.70109	0.69917	0.70181	0.69983	0.69886	0.70004	0.69975	0.69958
1	4000		0.75165	0.74522	0.7479	0.74422	0.74695	0.74398	0.74474	0.74589	0.74597	0.74624
1	5000		0.78151	0.7783	0.77769	0.77743	0.77912	0.77611	0.77834	0.77943	0.7767	0.77844
1	6000		0.79988	0.80326	0.80183	0.80224	0.80307	0.80075	0.80121	0.80193	0.80075	0.80168
1	7000		0.82012	0.8231	0.82208	0.82167	0.82178	0.82076	0.82139	0.8228	0.82232	0.82049
1	8000		0.83673	0.83671	0.835	0.83634	0.83644	0.8366	0.83641	0.83659	0.83767	0.83514
1	9000		0.8488	0.84773	0.84792	0.84787	0.84966	0.84686	0.84795	0.8499	0.84876	0.84689
1	10000		0.85982	0.86168	0.85805	0.86149	0.86147	0.86	0.85789	0.85872	0.85856	0.85825
2	1000		0.26894	0.27137	0.27058	0.26657	0.27147	0.2709	0.26996	0.26595	0.26564	0.27204
2	2000		0.45521	0.4547	0.44924	0.45746	0.45424	0.4552	0.44988	0.45572	0.45306	0.45027
2	3000		0.54738	0.54889	0.54863	0.54954	0.54606	0.55028	0.5468	0.54618	0.55034	0.54757
2	4000		0.61157	0.61033	0.61243	0.60948	0.6127	0.60846	0.60962	0.60761	0.60855	0.61026
2	5000		0.65437	0.64957	0.64991	0.65232	0.65126	0.65008	0.64897	0.64893	0.65025	0.65139
2	6000		0.68237	0.68537	0.68218	0.68117	0.68244	0.68312	0.68412	0.68437	0.68165	0.68747
2	7000		0.71027	0.70697	0.70794	0.70881	0.70887	0.7081	0.71009	0.71001	0.70992	0.70666
2	8000		0.72763	0.73086	0.73147	0.73093	0.73157	0.7343	0.73082	0.73057	0.72816	0.73145
2	9000		0.75151	0.74852	0.74901	0.74738	0.74828	0.74794	0.75066	0.74912	0.75108	0.74884
2	10000		0.76611	0.76736	0.76699	0.76412	0.76522	0.76439	0.7671	0.76766	0.76518	0.76708
4	1000		0.07083	0.06632	0.06675	0.06956	0.06784	0.06808	0.06652	0.06657	0.06879	0.06831
4	2000		0.24206	0.24188	0.24495	0.24364	0.24504	0.24587	0.24278	0.24052	0.24203	0.23985
4	3000		0.35664	0.35361	0.35833	0.35676	0.35362	0.35482	0.35209	0.35696	0.35383	0.356
4	4000		0.43197	0.43201	0.4266	0.42961	0.43043	0.43003	0.43157	0.43345	0.43257	0.42836
4	5000		0.48791	0.48731	0.4855	0.48789	0.48592	0.48691	0.48891	0.48648	0.48804	0.48725
4	6000		0.53071	0.53064	0.53127	0.5317	0.52805	0.53202	0.5287	0.52728	0.52732	0.5297
4	7000		0.56278	0.56201	0.56299	0.56212	0.56118	0.56305	0.56264	0.56634	0.56052	0.5629
4	8000		0.59173	0.59296	0.58916	0.59092	0.59084	0.59058	0.59155	0.58872	0.5936	0.5876
4	9000		0.6143	0.6155	0.61543	0.61142	0.61666	0.61547	0.61377	0.61668	0.61593	0.6155
4	10000		0.63438	0.63295	0.63377	0.6338	0.63351	0.63823	0.63767	0.63507	0.63566	0.63387
